food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine
C032	Rumex leaves (Rumex patientia )	2	7.99	5.00	10.22	15.67	7.48	3.99	5.79	2.53	2.84	3.57	6.82	4.46	0.88	0.59	7.92	4.69	1.24	3.97
C033	Spinach (Spinacia oleracea)	6	6.78±0.42	5.41±0.36	9.24±0.71	14.77±1.57	5.70±0.25	4.70±0.59	4.40±0.22	3.95±0.32	2.18±0.16	4.31±0.29	8.70±0.59	4.68±0.13	1.33±0.05	0.84±0.06	5.38±0.46	4.70±0.26	1.53±0.11	5.83±0.38
C034	Tamarind leaves, tender (Tamarindus indica)	3	6.63±0.61	5.58±0.20	8.29±1.27	13.45±1.16	5.81±0.50	4.68±0.85	4.32±0.27	3.93±0.28	2.19±0.05	4.20±0.04	8.70±0.67	4.69±0.21	1.26±0.10	0.63±0.03	4.86±0.59	4.64±0.34	1.47±0.06	5.65±0.38
D015	Brinjal-6 (Solanum melongena)	2	5.50	4.70	15.15	22.59	4.78	3.64	3.57	4.46	2.31	3.14	5.77	3.67	0.76	0.63	4.60	2.69	0.68	3.86
D016	Brinjal-7 (Solanum melongena)	1	7.03	5.34	14.02	17.88	4.32	4.19	4.67	3.01	2.11	3.44	6.18	4.25	0.95	0.99	4.85	3.03	0.70	4.72
D017	Brinjal-8 (Solanum melongena)	3	5.75±0.75	5.37±0.35	15.40±1.02	19.63±1.11	4.60±0.28	3.90±0.49	4.22±0.27	3.32±0.34	2.47±0.16	4.62±0.45	6.84±0.52	5.27±0.35	0.94±0.02	0.76±0.15	4.84±0.31	2.94±0.12	0.60±0.12	5.77±0.43
D018	Brinjal-9 (Solanum melongena)	2	5.31	5.97	16.10	15.96	4.63	3.96	4.01	2.99	2.39	4.44	6.51	4.94	1.03	0.81	4.31	2.97	0.75	5.66
D019	Brinjal-10 (Solanum melongena)	2	4.39	5.95	15.27	21.73	3.66	3.25	3.01	2.48	1.72	3.38	5.63	3.93	0.59	0.59	4.46	2.71	1.07	4.50
D020	Brinjal-11 (Solanum melongena)	6	5.71±1.69	4.98±1.07	16.71±1.98	20.98±2.17	4.28±0.76	3.49±0.92	3.82±0.71	2.88±0.68	1.79±0.28	3.35±1.00	5.24±0.90	3.15±0.64	0.81±0.18	0.79±0.12	4.75±0.28	3.04±0.38	0.73±0.28	4.36±1.45
D021	Brinjal-12 (Solanum melongena)	2	5.07	5.25	15.62	19.92	4.18	3.04	3.46	2.51	2.71	3.98	5.68	4.06	1.00	0.51	4.43	3.33	0.71	5.42
D022	Brinjal-13 (Solanum melongena)	1	5.43	5.57	16.67	18.85	3.71	3.74	3.82	2.79	2.30	4.12	5.77	4.66	0.76	0.84	5.47	3.43	0.80	5.98
D023	Brinjal-14 (Solanum melongena)	3	5.37±0.29	5.23±0.35	16.21±0.69	19.59±2.16	3.91±0.14	4.08±0.36	3.35±0.37	2.60±0.49	2.12±0.26	3.98±0.47	5.34±0.80	4.26±0.18	0.84±0.21	0.63±0.18	4.29±0.33	2.84±0.34	0.90±0.10	4.82±0.26
D024	Brinjal-15 (Solanum melongena)	4	5.31±0.34	4.48±1.25	16.23±0.72	20.53±1.76	3.81±0.11	3.26±0.46	3.79±0.64	2.68±0.57	1.64±0.26	3.09±0.55	5.10±0.91	3.55±0.28	0.70±0.22	0.53±0.14	4.51±0.75	2.85±0.22	0.91±0.20	4.48±1.18
D025	Brinjal-16 (Solanum melongena)	1	5.54	5.43	16.88	21.96	3.85	3.12	3.85	2.17	2.21	3.90	6.04	3.23	0.78	0.59	3.52	2.92	0.73	4.84
D026	Brinjal-17 (Solanum melongena)	1	5.19	5.61	15.45	19.39	3.94	3.28	3.83	2.99	2.24	3.79	5.60	4.70	0.80	0.84	4.35	3.08	0.89	4.97
D027	Brinjal-18 (Solanum melongena)	3	5.51±0.60	4.98±0.30	15.68±0.24	21.38±1.48	3.82±0.07	3.39±0.80	3.87±0.26	2.83±0.12	1.67±0.26	3.14±0.60	5.45±0.42	3.29±0.03	0.60±0.31	0.49±0.15	4.41±0.13	2.51±0.35	0.89±0.21	3.31±1.31
D028	Brinjal-19 (Solanum melongena)	3	5.70±0.36	4.34±0.88	16.98±1.41	21.76±3.24	3.64±0.15	3.73±0.57	4.28±0.01	3.16±0.41	1.93±0.31	3.73±0.59	6.23±0.69	3.90±0.97	0.84±0.32	0.63±0.16	4.63±0.87	2.95±0.42	0.83±0.21	3.75±1.73
D029	Brinjal-20 (Solanum melongena)	5	5.61±1.05	4.32±0.60	16.36±3.20	21.23±2.21	4.45±0.58	3.30±0.53	4.15±0.46	2.66±0.37	1.88±0.35	3.63±0.46	5.70±0.70	3.35±0.30	0.97±0.15	0.77±0.16	5.69±0.71	3.07±0.05	0.86±0.38	4.81±0.60
D030	Brinjal-21 (Solanum melongena)	2	5.48	5.02	17.23	21.64	4.30	3.45	3.90	2.58	2.07	3.15	5.44	3.40	0.68	0.71	4.87	3.24	0.97	4.60
D031	Brinjal - all varieties (Solanum melongena)	6	5.37±1.01	5.02±0.79	16.01±1.59	20.62±2.36	4.11±0.55	3.56±0.61	3.82±0.52	2.85±0.60	1.98±0.37	3.63±0.73	5.61±0.78	3.81±0.75	0.82±0.20	0.71±0.16	4.70±0.68	2.96±0.36	0.80±0.21	4.60±1.15
D032	Broad beans (Vicia faba)	3	6.43±0.01	7.61±0.01	14.41±0.64	13.83±0.38	4.80±0.10	4.51±0.35	4.54±0.21	2.83±0.13	3.16±0.63	4.28±0.12	7.63±0.15	5.66±0.50	0.65±0.81	0.55±0.03	3.86±0.59	3.40±0.66	0.88±0.02	5.41±0.16
D033	Capsicum, green (Capsicum annuum)	6	6.43±0.79	3.07±0.97	14.89±2.12	24.82±3.73	4.86±0.62	3.83±1.39	4.30±0.65	2.91±0.93	1.72±0.79	3.79±0.95	5.68±0.57	3.47±1.08	1.24±0.40	0.98±0.04	3.49±1.26	4.05±0.56	0.96±0.15	5.17±0.78
D034	Capsicum, red (Capsicum annuum)	4	6.53±0.22	3.36±0.24	14.28±1.32	25.17±0.94	5.69±0.32	2.97±0.16	4.84±0.29	2.89±0.13	1.16±0.15	3.61±0.17	5.40±0.21	3.67±0.12	1.10±0.14	1.13±0.15	3.16±0.40	4.14±0.17	0.92±0.12	5.17±0.26
D035	Capsicum, yellow (Capsicum annuum)	4	5.34±0.26	3.84±0.36	14.95±1.18	24.51±0.15	5.22±0.43	2.45±0.14	4.96±0.25	2.93±0.19	1.13±0.23	3.92±0.20	5.29±0.28	3.80±0.33	1.18±0.20	1.19±0.21	2.98±0.19	4.31±0.71	0.99±0.22	5.24±0.48
D036	Cauliflower (Brassica oleracea var. botrytis)	6	7.96±1.00	4.15±0.94	10.61±1.49	20.70±2.88	4.15±0.31	3.45±0.76	5.15±0.61	2.89±0.34	1.80±0.19	3.84±0.45	6.01±0.86	4.13±0.41	1.01±0.10	0.56±0.10	3.88±0.49	4.02±0.33	1.06±0.06	5.81±0.89
D037	Celery stalk (Apium graveolens)	3	3.07±0.10	3.53±0.51	20.42±1.44	25.87±1.94	3.61±0.13	2.85±0.40	4.29±0.28	2.21±0.04	1.43±0.13	2.93±0.14	4.44±0.45	3.32±0.21	0.90±0.05	0.45±0.07	2.92±0.53	3.71±0.56	1.15±0.03	4.64±0.15
D038	Cho-cho-marrow (Sechium edule)	4	7.29±0.79	4.01±1.93	13.25±2.43	16.75±1.63	4.85±0.54	4.18±0.85	5.90±0.81	3.35±0.92	1.82±0.54	4.72±0.68	8.64±0.94	3.56±0.56	1.29±0.17	0.70±0.17	4.65±0.54	4.57±0.67	0.86±0.09	6.71±0.69
D039	Cluster beans (Cyamopsis tetragonoloba)	6	7.08±1.05	6.48±0.49	18.73±3.01	11.00±1.56	4.44±0.51	3.90±0.42	4.15±0.77	4.17±0.84	1.75±0.33	2.68±1.05	4.68±0.73	3.09±0.56	0.82±0.03	1.02±0.20	2.99±0.99	3.27±0.86	0.91±0.16	3.96±1.01
D040	Colocasia, stem, black (Colocasia esculenta)	1	7.77	4.52	13.23	16.36	5.87	4.63	5.53	3.56	2.28	4.10	7.53	4.09	1.22	1.51	4.06	4.28	0.75	5.96
D041	Colocasia, stem, green (Colocasia esculenta)	5	7.37±1.23	4.70±0.63	11.84±1.78	18.86±2.51	6.69±1.43	4.14±0.75	4.94±0.80	3.08±0.47	2.37±0.51	4.26±0.53	7.20±0.53	3.33±0.97	1.20±0.19	0.80±0.20	4.14±0.48	4.22±0.34	0.73±0.10	5.96±0.35
D043	Cucumber, green, elongate (Cucumis sativus)	6	7.18±1.41	4.47±0.44	6.96±0.92	22.84±2.45	4.47±0.52	3.30±0.49	3.79±0.68	2.98±0.46	1.92±0.27	4.14±0.47	6.94±0.63	3.15±0.30	1.06±0.22	0.64±0.14	3.17±0.45	3.13±0.72	0.27±0.12	6.09±0.88
D044	Cucumber, green, short (Cucumis sativus)	6	7.12±0.81	4.96±1.46	7.03±0.10	24.25±3.15	4.94±0.87	3.68±0.35	3.94±0.72	2.58±0.32	1.84±0.28	3.77±0.47	6.11±0.37	3.38±0.29	0.87±0.15	0.79±0.22	4.14±0.05	3.14±0.16	0.66±0.14	5.22±0.38
D045	Cucumber, orange, round (Cucumis sativus)	2	7.19	3.42	7.48	25.58	5.51	3.94	3.53	3.11	1.80	4.74	6.43	3.28	0.75	0.76	4.43	3.70	0.52	6.13
D046	Drumstick (Moringa oleifera)	6	5.68±0.61	10.93±0.29	9.42±1.33	23.30±2.18	3.91±0.41	3.36±0.54	4.60±0.34	2.16±0.20	1.95±0.15	3.08±0.29	5.98±0.37	3.09±0.45	1.10±0.30	0.89±0.22	3.43±0.36	3.83±0.08	0.53±0.15	5.02±0.35
D047	Field beans, tender, broad (Vicia faba)	2	5.88	6.02	13.35	14.95	4.53	4.24	5.43	3.36	2.63	4.05	8.19	4.61	0.83	0.59	4.57	3.68	0.75	5.10
