food_code	food_name	number_of_regions	Alanine	Arginine	Aspartic Acid	Glutamic Acid	Glycine	Proline	Serine	Tyrosine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Cystine	Phenylalanine	Threonine	Tryptophan	Valine	Aspartic Acid_std	Histidine_std	Lysine_std	Glutamic Acid_std	Methionine_std	Phenylalanine_std	Valine_std	Proline_std	Cystine_std	Glycine_std	Arginine_std	Leucine_std	Threonine_std	Tryptophan_std	Alanine_std	Tyrosine_std	Serine_std	Isoleucine_std
A	CEREALS AND MILLETS																																					
C024	Knol-Khol, leaves (Brassica oleracea var. gongylodes)	2	6.76	5.3	10.33	18.0	5.31	5.39	4.48	2.9	1.96	4.31	7.2	4.27	1.37	0.95	4.93	4.45	1.05	5.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C025	Lettuce (Lactuca sativa)	3	6.51	4.77	11.32	16.1	5.68	4.51	3.8	3.0	1.74	3.49	6.9	5.22	0.95	0.87	3.61	4.5	1.23	4.95	1.55	0.19	0.37	3.52	0.37	1.49	0.58	0.41	0.1	0.33	0.7	1.45	0.57	0.41	1.32	0.57	1.0	1.44
C026	Mustard leaves (Brassica juncea)	3	6.6	5.74	10.86	18.67	5.31	4.65	5.11	3.21	1.91	3.22	6.57	5.42	0.74	1.02	3.53	4.08	1.31	3.52	1.05	0.23	0.34	1.11	0.09	0.67	0.43	0.63	0.13	0.37	1.04	0.01	0.57	0.14	0.38	0.17	0.53	0.15
C027	Pak Choi leaves(Brassica rapa var. Chinensis)	1	5.86	6.58	9.58	12.86	4.87	4.76	4.61	3.48	2.48	3.78	7.98	6.26	1.96	1.12	5.89	5.03	1.23	5.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C028	Parsley (Petroselinum crispum)	3	7.18	4.53	11.18	12.86	5.06	4.63	4.56	3.0	1.76	4.78	7.82	5.75	1.32	0.87	5.31	4.91	1.68	6.19	0.12	0.16	0.86	0.09	0.13	0.39	0.33	0.55	0.05	0.02	0.18	0.82	0.39	0.06	0.42	0.44	0.21	0.24
C029	Ponnaganni (Alternanthera sessilis)	2	6.83	4.67	9.32	14.56	6.02	5.4	4.46	3.25	1.87	4.89	8.77	5.01	1.58	0.93	5.41	5.35	1.18	5.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C030	Pumpkin leaves, tender (Cucurbita maxima)	6	5.62	6.02	11.79	14.36	5.5	5.25	4.65	3.46	1.63	5.27	8.85	4.9	0.99	0.85	6.4	4.52	1.76	5.82	1.1	0.53	0.17	0.04	0.27	0.12	0.11	0.54	0.07	0.35	1.0	0.22	0.3	0.05	1.1	0.22	0.19	0.07
C031	Radish leaves (Raphanus sativus)	6	7.9	4.8	9.71	17.1	5.5	4.04	4.73	3.05	1.96	3.59	6.89	5.34	1.01	0.86	6.0	3.99	1.39	4.26	0.8	0.41	0.5	3.08	0.35	3.77	1.65	1.25	0.14	0.39	0.73	1.11	0.87	0.52	0.77	0.48	0.62	0.82
C032	Rumex leaves (Rumex patientia )	2	7.99	5.0	10.22	15.67	7.48	3.99	5.79	2.53	2.84	3.57	6.82	4.46	0.88	0.59	7.92	4.69	1.24	3.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C033	Spinach (Spinacia oleracea)	6	6.78	5.41	9.24	14.77	5.7	4.7	4.4	3.95	2.18	4.31	8.7	4.68	1.33	0.84	5.38	4.7	1.53	5.83	0.71	0.16	0.13	1.57	0.05	0.46	0.38	0.59	0.06	0.25	0.36	0.59	0.26	0.11	0.42	0.32	0.22	0.29
